"school","color","alt_color","logo"
"Air Force","#004a7b","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png"
"Akron","#00285e","#84754e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png"
"Alabama","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"Appalachian State","#ffcd00","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png"
"Arizona","#002449","red","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
"Arizona State","#942139","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png"
"Arkansas","#9c1831","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png"
"Arkansas State","#e81018","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png"
"Army","#ce9c00","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png"
"Auburn","#03244d","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png"
"Ball State","#DA0000","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png"
"Baylor","#004834","#ffb81c","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png"
"Boise State","#09347A","#d8d9da","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"Boston College","#88001a","#a39161","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png"
"Bowling Green","#2b1000","orange","http://a.espncdn.com/i/teamlogos/ncaa/500/189.png"
"Buffalo","#041A9B","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png"
"BYU","#001E4C","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png"
"California","#031522","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png"
"Central Michigan","#6a0032","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png"
"Charlotte","#cfab7a","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png"
"Cincinnati","#717073","#000000","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png"
"Clemson","#522d80","#F66733","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"Coastal Carolina","#007073","#876447","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png"
"Colorado","#d1c57e","black","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png"
"Colorado State","#004537","#ffc425","http://a.espncdn.com/i/teamlogos/ncaa/500/36.png"
"Connecticut","#001d40","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/41.png"
"Duke","#001A57","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png"
"East Carolina","#4b1869","#f0907b","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png"
"Eastern Michigan","#00331b","#f0f0f0","http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png"
"Florida","#0021A5","orange","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
"Florida Atlantic","#004B85","#bb2f4c","http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
